one_week_perf,one_month_perf,three_month_perf,six_month_perf,one_year_perf,bull_bear_signal,technical_rating,ad_trend,avg_volume_6_days,avg_volume_9_days,avg_volume_12_days,avg_volume_15_days,avg_volume_30_days,q1,q2,q3,q4,capital_fund_to_rwa,npl_to_total_loan,return_on_equity,total_loan_loss_provision_to_npl,symbol,market_cap,stock_bonus,eps_ttm,roa_ttm,roe_ttm,pr_ratio
-1.14,-1.7,-10.34,-15.31,40.54,-,BY,No Change,134691.0,135188.0,158326.0,154068.0,149723.0,-3.12%,-8.77%,-15.82%,-3.03%,,,,,AHPC (Arun Valley Hydropower Development),10004807020.0,"[{'id': 910, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 8, 'cash': 0.421, 'total': 8.421, 'fiscal_year': '2078/2079'}, {'id': 911, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 0.526, 'total': 10.526, 'fiscal_year': '2077/2078'}, {'id': 912, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0.263, 'total': 5.263, 'fiscal_year': '2076/2077'}, {'id': 913, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 7, 'cash': 0.37, 'total': 7.37, 'fiscal_year': '2075/2076'}, {'id': 914, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 0.526, 'total': 10.526, 'fiscal_year': '2073/2074'}, {'id': 915, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 0.53, 'total': 10.53, 'fiscal_year': '2072/2073'}, {'id': 916, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 11, 'total': 11, 'fiscal_year': '2071/2072'}, {'id': 917, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 0.53, 'total': 10.53, 'fiscal_year': '2070/2071'}, {'id': 918, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 15, 'cash': 0.75, 'total': 15.75, 'fiscal_year': '2069/2070'}, {'id': 919, 'symbol': 'AHPC', 'sector': 'HYDROPOWER', 'bonus': 15, 'cash': 0.75, 'total': 15.75, 'fiscal_year': '2068/2069'}]",10.09,0.05,0.06,25.76
-0.82,-2.08,-12.46,-14.09,30.05,-,SL,No Change,100871.0,104498.0,112540.0,113416.0,110046.0,-6.38%,-6.91%,-28.80%,-16.42%,,,,,AKPL (Arun Kabeli Power Ltd.),9003522193.1,"[{'id': 922, 'symbol': 'AKPL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 0.5263, 'total': 10.526299999999999, 'fiscal_year': '2078/2079'}, {'id': 923, 'symbol': 'AKPL', 'sector': 'HYDROPOWER', 'bonus': 17, 'cash': 0.89, 'total': 17.89, 'fiscal_year': '2077/2078'}, {'id': 924, 'symbol': 'AKPL', 'sector': 'HYDROPOWER', 'bonus': 5.71, 'cash': 0.29, 'total': 6, 'fiscal_year': '2076/2077'}]",3.03,0.01,0.02,76.38
-0.85,3.53,-3.96,-16.07,55.67,-,BY,Distribution,198497.0,198769.0,204958.0,197909.0,177223.0,-7.74%,-6.47%,-19.92%,-12.67%,,,,,API (Api Power),17109812684.8,"[{'id': 939, 'symbol': 'API', 'sector': 'HYDROPOWER', 'bonus': 7.5, 'cash': 0.3947, 'total': 7.8947, 'fiscal_year': '2078/2079'}, {'id': 940, 'symbol': 'API', 'sector': 'HYDROPOWER', 'bonus': 10.5, 'cash': 0.55, 'total': 11.05, 'fiscal_year': '2077/2078'}, {'id': 941, 'symbol': 'API', 'sector': 'HYDROPOWER', 'bonus': 9, 'cash': 0.47, 'total': 9.47, 'fiscal_year': '2076/2077'}, {'id': 942, 'symbol': 'API', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0.26, 'total': 5.26, 'fiscal_year': '2075/2076'}, {'id': 943, 'symbol': 'API', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0, 'total': 5, 'fiscal_year': '2074/2075'}, {'id': 944, 'symbol': 'API', 'sector': 'HYDROPOWER', 'bonus': 8, 'cash': 0, 'total': 8, 'fiscal_year': '2073/2074'}, {'id': 945, 'symbol': 'API', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0, 'total': 5, 'fiscal_year': '2072/2073'}]",10.26,0.06,0.12,27.45
-1.41,0.67,6.87,27.83,80.87,-,BY,Distribution,89913.0,97741.0,115168.0,146509.0,156339.0,-2.65%,-9.47%,-12.70%,-4.35%,,,,,BARUN (Barun Hydropower),2508150015.0,"[{'id': 946, 'symbol': 'BARUN', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0.263, 'total': 5.263, 'fiscal_year': '2076/2077'}, {'id': 947, 'symbol': 'BARUN', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0.26, 'total': 5.26, 'fiscal_year': '2073/2074'}]",10.07,0.08,0.11,46.49
-1.62,8.13,48.67,78.41,143.14,-,BY,Accumulation,50254.0,47271.0,56691.0,62558.0,77352.0,26.84%,-6.57%,46.12%,62.84%,,,,,BEDC (Bhugol Energy Development Company Limited),4629894434.0,,-2.22,-0.05,-0.13,-382.92
0.26,0.95,13.33,21.54,97.46,-,BY,Accumulation,14931.0,17501.0,20275.0,19605.0,21561.0,17.80%,-3.33%,50.65%,50.65%,,,,,BGWT (Bhagawati Hydropower Development Company Limited),6931136045.0,"[{'id': 949, 'symbol': 'BGWT', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 10.5263, 'total': 10.5263, 'fiscal_year': '2079/2080'}]",4.77,0.06,0.06,244.08
-4.51,-7.52,-0.31,9.87,41.26,-,-,Distribution,15745.0,18184.0,18676.0,18727.0,25476.0,18.93%,1.90%,28.14%,36.33%,,,,,BHDC (Bindhyabasini Hydropower Development Company Limited),7687386000.0,"[{'id': 950, 'symbol': 'BHDC', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 5.2632, 'total': 5.2632, 'fiscal_year': '2079/2080'}, {'id': 951, 'symbol': 'BHDC', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0.0263, 'total': 5.0263, 'fiscal_year': '2078/2079'}]",15.43,0.01,0.03,43.92
-3.53,-7.79,-11.58,-13.54,3.5,-,SL,Accumulation,14786.0,13426.0,12176.0,12551.0,14890.0,9.79%,-7.39%,13.70%,37.72%,,,,,BHL (Balephi Hydropower Limited),12978587000.0,,-10.44,-0.05,,-34.0
-12.43,8.37,37.39,60.34,124.8,-,BY,Accumulation,14007.0,15759.0,16402.0,16720.0,19802.0,19.83%,10.58%,14.38%,19.78%,,,,,BHPL (Barahi Hydropower Public Limited),2725750000.0,,2.76,-0.04,-0.1,394.84
-2.19,1.68,-1.3,-3.57,24.11,-,BY,Accumulation,31889.0,32636.0,35141.0,46812.0,46531.0,20.27%,-6.32%,21.92%,31.31%,,,,,BNHC (Buddha Bhumi Nepal Hydropower Company Limited),2159600000.0,,3.03,-0.01,-0.03,178.26
