Symbol,Buy Pressure,Sell Pressure,Net Pressure,Sentiment Score,Technical Signal,Final Signal
NGPL,125999231,68869359,57129871,0,Buy,Buy
SHINE,45709719,27670274,18039444,0,Buy,Buy
AKJCL,43391471,27191730,16199741,0,Buy,Buy
JFL,64199889,52377074,11822815,0,Buy,Buy
SEF,24912373,13188553,11723820,0,Buy,Buy
NICA,29473900,19610124,9863776,0,Buy,Buy
NICSF,17017885,8096363,8921521,0,Buy,Buy
ILI,17133688,8524108,8609579,0,Buy,Buy
PFL,43777606,37640642,6136963,0,Buy,Buy
SFMF,9791949,3752723,6039225,0,Buy,Buy
LICN,11428991,5812667,5616323,0,Buy,Buy
KDBY,12249121,6692435,5556686,0,Buy,Buy
SRLI,17645084,12268385,5376699,0,Buy,Buy
JBBL,27163246,22043304,5119942,0,Buy,Buy
CMF2,10301623,5844591,4457032,0,Buy,Buy
C30MF,19173893,15221318,3952574,0,Buy,Buy
NICFC,6880606,3143854,3736752,0,Buy,Buy
CGH,9914096,6394540,3519555,0,Buy,Buy
SJLIC,17719640,14365470,3354169,0,Buy,Buy
SAHAS,22113747,18826432,3287315,0,Buy,Buy
MNBBL,14491567,11303841,3187725,0,Buy,Buy
NLG,13029421,9974134,3055286,0,Buy,Buy
CMF1,10529368,7496383,3032984,0,Buy,Buy
MMF1,11949343,8963641,2985701,0,Buy,Buy
NBF3,17566366,14800800,2765565,0,Buy,Buy
HDL,9786401,7231410,2554990,0,Buy,Buy
GLH,29694027,27159221,2534806,0,Buy,Buy
DOLTI,20479403,17972255,2507148,0,Buy,Buy
SPDL,29126866,26645329,2481536,0,Buy,Buy
MBL,23902767,21477816,2424950,0,Buy,Buy
NICBF,9819849,7781585,2038263,0,Buy,Buy
MLBL,18242800,16408985,1833815,0,Buy,Buy
CZBIL,22526477,20693425,1833051,0,Buy,Buy
NMLBBL,6194155,4368931,1825223,0,Buy,Buy
SBCF,7920456,6127677,1792778,0,Buy,Buy
MHNL,9760040,8013125,1746914,0,Buy,Buy
TPC,7472808,5731429,1741378,0,Buy,Buy
MKHL,10827661,9113936,1713725,0,Buy,Buy
HHL,13947493,12314415,1633077,0,Buy,Buy
MBJC,19424483,17918781,1505702,0,Buy,Buy
NICGF,5569392,4139140,1430251,0,Buy,Buy
LVF2,2743593,1347557,1396036,0,Buy,Buy
SHL,22026584,20942700,1083884,0,Buy,Buy
PMLI,5955038,4876959,1078079,0,Buy,Buy
SMPDA,4175292,3130102,1045189,0,Buy,Buy
EHPL,6390146,5357864,1032282,0,Buy,Buy
NIL,3316251,2398955,917296,0,Buy,Buy
MSHL,4415157,3539581,875576,0,Buy,Buy
NSIF2,23861508,23105332,756176,0,Buy,Buy
MATRI,1295297,600374,694922,0,Buy,Buy
KEF,10477423,9830006,647417,0,Buy,Buy
SKBBL,3465239,2842813,622426,0,Buy,Buy
BHDC,6357737,5745200,612537,0,Buy,Buy
RMF1,8986653,8384939,601713,0,Buy,Buy
HEI,7410154,6825201,584953,0,Buy,Buy
SWMF,2640924,2094716,546208,0,Buy,Buy
NICL,6034656,5565513,469142,0,Buy,Buy
NUBL,3548163,3116336,431827,0,Buy,Buy
GILB,4317776,3887825,429950,0,Buy,Buy
SNLI,10227880,9822916,404964,0,Buy,Buy
NMBMF,2640687,2253924,386763,0,Buy,Buy
RSDC,5159127,4814630,344497,0,Buy,Buy
MDB,19605923,19272891,333031,0,Buy,Buy
GBBL,11843797,11540741,303056,0,Buy,Buy
MERO,4799574,4496977,302596,0,Buy,Buy
MLBBL,2443874,2160673,283200,0,Buy,Buy
USHL,3800635,3535515,265119,0,Buy,Buy
KPCL,6976531,6755974,220557,0,Buy,Buy
SJCL,11189443,10978782,210661,0,Buy,Buy
MLBSL,780561,570715,209845,0,Buy,Buy
ALBSL,3182490,2975934,206556,0,Buy,Buy
NLICL,5055112,4860505,194606,0,Buy,Buy
PCBLP,262759,74997,187761,0,Buy,Buy
ICFC,18026269,17858824,167444,0,Buy,Buy
ILBS,2911226,2767693,143532,0,Buy,Buy
NMFBS,1518885,1376328,142557,0,Buy,Buy
GBILD84/85,143146,10765,132381,0,Buy,Buy
GBLBS,3875202,3742822,132380,0,Buy,Buy
LBBLD89,140521,12258,128263,0,Buy,Buy
FMDBL,11006718,10884747,121970,0,Buy,Buy
JBLB,1835294,1734091,101202,0,Buy,Buy
SLBBL,5467791,5369804,97987,0,Buy,Buy
SGIC,17694709,17598640,96068,0,Buy,Buy
NESDO,995291,902268,93022,0,Buy,Buy
PROFLP,85545,0,85545,0,Buy,Buy
SFCL,46934238,46853806,80432,0,Buy,Buy
LLBS,1684658,1622174,62483,0,Buy,Buy
FOWAD,1390526,1333028,57497,0,Buy,Buy
SALICO,2723407,2668847,54560,0,Buy,Buy
NICLBSL,3701672,3647172,54499,0,Buy,Buy
NBLD87,55774,16546,39228,0,Buy,Buy
RBCLPO,151065,116512,34553,0,Buy,Buy
ADBL,15353500,15328109,25391,0,Buy,Buy
NCCD86,61674,41103,20571,0,Buy,Buy
MFLD85,21220,6235,14985,0,Buy,Buy
NMFBSP,9933,0,9933,0,Buy,Buy
MBLD87,11232,1735,9496,0,Buy,Buy
HBLD86,9240,1004,8236,0,Buy,Buy
SBLD89,21867,14017,7850,0,Buy,Buy
ADBLD83,12383,9068,3315,0,Buy,Buy
NICD88,8101,4823,3277,0,Buy,Buy
SALICOPO,1472,0,1472,0,Buy,Buy
SBLD83,1466,311,1154,0,Buy,Buy
PBD84,2109,1173,936,0,Buy,Buy
PBD85,4147,3219,927,0,Buy,Buy
KBLD89,2907,2346,560,0,Buy,Buy
MND84/85,3661,3163,497,0,Buy,Buy
MBLD2085,549,157,392,0,Buy,Buy
HRL,42014191,71463072,-29448880,0,Sell,Sell
CHDC,17329488,31046161,-13716672,0,Sell,Sell
NFS,63956404,73443097,-9486692,0,Sell,Sell
PHCL,33934603,37703020,-3768417,0,Sell,Sell
KKHC,16930130,20471467,-3541337,0,Sell,Sell
SPC,7927768,11089409,-3161641,0,Sell,Sell
SMJC,20154999,23189262,-3034263,0,Sell,Sell
UNHPL,19014012,21930307,-2916295,0,Sell,Sell
NIBLSTF,1859806,4657326,-2797519,0,Sell,Sell
JOSHI,38413756,41128653,-2714897,0,Sell,Sell
SIGS3,7433808,10068586,-2634778,0,Sell,Sell
RURU,5926183,7898466,-1972282,0,Sell,Sell
HBL,18508528,20427710,-1919181,0,Sell,Sell
RMF2,6186257,7816803,-1630546,0,Sell,Sell
VLUCL,9711815,11258464,-1546649,0,Sell,Sell
CKHL,4503964,5443490,-939526,0,Sell,Sell
NWCL,5564842,6393028,-828185,0,Sell,Sell
SIGS2,12274882,13048209,-773327,0,Sell,Sell
NIBSF2,4300799,4730439,-429639,0,Sell,Sell
CYCL,2390591,2769354,-378762,0,Sell,Sell
SAMAJ,618040,790033,-171993,0,Sell,Sell
STC,726260,898022,-171761,0,Sell,Sell
ANLB,1162837,1320178,-157340,0,Sell,Sell
PPCL,13327331,13454960,-127628,0,Sell,Sell
BBC,266027,383039,-117011,0,Sell,Sell
NIMBD90,2251,116376,-114125,0,Sell,Sell
BNT,129417,191168,-61750,0,Sell,Sell
SONA,34055334,34073494,-18160,0,Sell,Sell
BNL,13069,27594,-14524,0,Sell,Sell
KBLD86,6755,19521,-12765,0,Sell,Sell
EBLD86,9232,16164,-6931,0,Sell,Sell
PBLD86,503,4033,-3530,0,Sell,Sell
NBLD82,826,3705,-2879,0,Sell,Sell
PBLD87,6734,9051,-2316,0,Sell,Sell
SDBD87,13362,14531,-1168,0,Sell,Sell
NABILD87,5376,6526,-1149,0,Sell,Sell
SBID89,20576,21568,-991,0,Sell,Sell
BOKD86,4171,4822,-651,0,Sell,Sell
CIZBD86,2,450,-447,0,Sell,Sell
GWFD83,7961,8116,-155,0,Sell,Sell
SBIBD86,541,606,-65,0,Sell,Sell
HBLD83,326,381,-55,0,Sell,Sell
ACLBSL,2192311,2826034,-633723,0,Buy,Hold
ACLBSLP,0,0,0,0,Buy,Hold
ANLBP,0,0,0,0,Neutral,Hold
ADBLB87,0,0,0,0,Neutral,Hold
API,80818346,114213370,-33395024,0,Buy,Hold
AHPC,72216422,110157800,-37941378,0,Buy,Hold
ALBSLP,0,0,0,0,Buy,Hold
ALICL,7101399,8610143,-1508744,0,Buy,Hold
AVYAN,3060100,3286389,-226289,0,Buy,Hold
AKPL,52428135,69368669,-16940533,0,Buy,Hold
AVYANP,0,0,0,0,Neutral,Hold
ADBLB86,0,0,0,0,Neutral,Hold
BHPL,3459755,3964531,-504776,0,Buy,Hold
BARUN,16421502,25316066,-8894564,0,Buy,Hold
ALICLP,0,0,0,0,Sell,Hold
BFC,25914941,29433726,-3518784,0,Buy,Hold
BOKD86KA,10,720,-709,0,Buy,Hold
BHL,14291006,8187065,6103940,0,Sell,Hold
AHL,4359891,4765789,-405898,0,Buy,Hold
BPCL,9073293,12521934,-3448641,0,Buy,Hold
ADBLB,0,0,0,0,Neutral,Hold
CFCL,20850797,25895847,-5045050,0,Buy,Hold
BFCPO,0,0,0,0,Neutral,Hold
CCBD88,33709,11759,21949,0,Sell,Hold
BNHC,8128576,8212551,-83975,0,Buy,Hold
CBBLPO,0,0,0,0,Sell,Hold
CBBL,2892353,3187426,-295072,0,Buy,Hold
CHCL,13553287,17259664,-3706376,0,Buy,Hold
CIT,2711262,2725486,-14223,0,Buy,Hold
CITPO,0,0,0,0,Neutral,Hold
CHL,7856745,9933677,-2076931,0,Buy,Hold
BGWT,3854425,5518266,-1663840,0,Buy,Hold
CLI,9410284,12418524,-3008239,0,Buy,Hold
CIZBD90,2974,4872,-1898,0,Buy,Hold
CITY,6196139,9094210,-2898071,0,Buy,Hold
CFCLPO,0,0,0,0,Neutral,Hold
CZBILP,0,0,0,0,Buy,Hold
CORBL,4387454,7359199,-2971744,0,Buy,Hold
CORBLP,0,0,0,0,Neutral,Hold
PSDBLP,0,0,0,0,Neutral,Hold
CYCLP,0,0,0,0,Buy,Hold
DDBLPO,0,0,0,0,Neutral,Hold
CBLD88,44382,43096,1286,0,Sell,Hold
DLBS,2045890,1791796,254094,0,Sell,Hold
DORDI,10802248,11847467,-1045218,0,Buy,Hold
BEDC,10385956,13635303,-3249346,0,Buy,Hold
ENLP,0,0,0,0,Neutral,Hold
EBL,9186502,11567208,-2380705,0,Buy,Hold
EBLD85,14839,5641,9198,0,Sell,Hold
ENL,1871375,1687358,184016,0,Sell,Hold
DDBL,3202289,4370135,-1167846,0,Buy,Hold
EBLPO,0,0,0,0,Neutral,Hold
EBLEB89,0,0,0,0,Neutral,Hold
DHPL,9271280,10639791,-1368510,0,Buy,Hold
EDBL,14770236,21092998,-6322762,0,Buy,Hold
FOWADP,0,0,0,0,Sell,Hold
GMFBS,2479915,2626342,-146426,0,Buy,Hold
GBBLPO,0,0,0,0,Sell,Hold
GBBD85,220820,12759,208061,0,Sell,Hold
EDBLPO,0,0,0,0,Buy,Hold
GHL,43994645,55393922,-11399277,0,Buy,Hold
GBIME,40618202,46548626,-5930424,0,Buy,Hold
GCIL,16646406,15804809,841596,0,Sell,Hold
GBIMEP,674606,0,674606,0,Sell,Hold
GBILD86/87,45259,21975,23284,0,Sell,Hold
GFCL,35511751,38159335,-2647584,0,Buy,Hold
GFCLPO,0,0,0,0,Neutral,Hold
GILBPO,0,0,0,0,Neutral,Hold
GIBF1,15631759,14411733,1220026,0,Sell,Hold
PDBLPO,0,0,0,0,Neutral,Hold
GRDBLP,0,0,0,0,Buy,Hold
GBLBSP,0,0,0,0,Neutral,Hold
GVL,8334018,9641146,-1307128,0,Buy,Hold
GMLIP,0,0,0,0,Neutral,Hold
GMFIL,13767292,16253743,-2486450,0,Buy,Hold
GMFILP,0,0,0,0,Neutral,Hold
GLBSL,2940976,3181330,-240353,0,Buy,Hold
GUFLPO,0,0,0,0,Buy,Hold
GMFBSP,0,0,0,0,Neutral,Hold
HDHPC,63936402,104444058,-40507656,0,Buy,Hold
HURJA,36841619,29810802,7030816,0,Sell,Hold
H8020,7518560,7275746,242814,0,Sell,Hold
HBLPO,0,0,0,0,Buy,Hold
HLBSL,6083954,6352988,-269034,0,Buy,Hold
FMDBLP,0,0,0,0,Buy,Hold
GRDBL,8296939,12762493,-4465553,0,Buy,Hold
GUFL,26080220,25368373,711846,0,Sell,Hold
GMLI,0,0,0,0,Neutral,Hold
HLBSLP,0,0,0,0,Neutral,Hold
HLI,28093513,30068534,-1975021,0,Buy,Hold
HLIPO,0,52926,-52926,0,Buy,Hold
HPPL,23721621,28288522,-4566901,0,Buy,Hold
HIDCLP,67174301,116189617,-49015315,0,Buy,Hold
HEIP,1344045,2351641,-1007596,0,Buy,Hold
HIDCL,65861212,87430574,-21569362,0,Buy,Hold
ILIP,0,0,0,0,Neutral,Hold
ICFCPO,0,0,0,0,Buy,Hold
ICFCD83,6707,4491,2216,0,Sell,Hold
IGI,10626492,12257260,-1630767,0,Buy,Hold
IHL,8393146,9789249,-1396102,0,Buy,Hold
JSLBB,1218853,1237570,-18716,0,Buy,Hold
HATHY,12603989,15739113,-3135123,0,Buy,Hold
IGIPO,0,0,0,0,Sell,Hold
JSLBBP,0,0,0,0,Sell,Hold
JBBLPO,881817,0,881817,0,Sell,Hold
KMCDB,2516506,2822484,-305978,0,Buy,Hold
KDL,3117338,4902707,-1785368,0,Buy,Hold
KDLP,0,0,0,0,Neutral,Hold
KSBBLP,0,0,0,0,Buy,Hold
KSBBL,12242361,13135828,-893467,0,Buy,Hold
KSBBLD87,52999,9596,43403,0,Sell,Hold
JBLBP,0,0,0,0,Neutral,Hold
KBLPO,0,0,0,0,Sell,Hold
KBL,67934941,93021422,-25086481,0,Buy,Hold
KSY,715014,1936988,-1221973,0,Buy,Hold
KBLD90,734,1322,-587,0,Buy,Hold
KBSH,1501756,1907177,-405420,0,Buy,Hold
JFLPO,0,0,0,0,Sell,Hold
LLBSPO,0,0,0,0,Neutral,Hold
LSL,32125853,47855807,-15729954,0,Buy,Hold
JBBD87,31890,14857,17033,0,Sell,Hold
LBLD86,577,20615,-20037,0,Buy,Hold
ILBSP,0,0,0,0,Buy,Hold
